Title,Genre,Rating,Streaming,JustWatch Link
 Westworld (2016),"Drama, Science-Fiction, Western",8.5 (537k),"Currently you are able to watch ""Westworld"" streaming on Jio Cinema. ",https://www.justwatch.com/in/tv-show/westworld
 Jamnapaar (2024),Drama,8.2 (3.2k),"Currently you are able to watch ""Jamnapaar"" streaming on MX Player, Amazon miniTV for free with ads. ",https://www.justwatch.com/in/tv-show/jamnapaar
 Land of Tanabata (2024),"Drama, Science-Fiction, Fantasy, Mystery & Thriller",6.4 (126),"Currently you are able to watch ""Land of Tanabata"" streaming on Hotstar. ",https://www.justwatch.com/in/tv-show/land-of-tanabata
 The Good Doctor (2017),Drama,8.0 (117k),"Currently you are able to watch ""The Good Doctor"" streaming on Amazon Prime Video, Netflix, Sony Liv. ",https://www.justwatch.com/in/tv-show/the-good-doctor
 Jeet Ki Zid (2021),"Action & Adventure, Drama",8.3 (2.6k),"Currently you are able to watch ""Jeet Ki Zid"" streaming on Zee5, VI movies and tv. ",https://www.justwatch.com/in/tv-show/jeet-ki-zid
 Dark Matter (2024),"Drama, Science-Fiction, Mystery & Thriller",7.7 (35k),"Currently you are able to watch ""Dark Matter"" streaming on Apple TV Plus. ",https://www.justwatch.com/in/tv-show/dark-matter-2024
 True Detective (2014),"Drama, Mystery & Thriller, Crime",8.9 (666k),"Currently you are able to watch ""True Detective"" streaming on Jio Cinema. ",https://www.justwatch.com/in/tv-show/true-detective
 Fargo (2014),"Crime, Drama, Mystery & Thriller",8.9 (427k),"Currently you are able to watch ""Fargo"" streaming on Amazon Prime Video. ",https://www.justwatch.com/in/tv-show/fargo
 Gandii Baat (2018),"Crime, Drama, Mystery & Thriller",3.4 (3k),"Currently you are able to watch ""Gandii Baat"" streaming on Alt Balaji. ",https://www.justwatch.com/in/tv-show/gandii-baat
 You (2018),"Drama, Crime, Romance, Mystery & Thriller",7.7 (306k),"Currently you are able to watch ""You"" streaming on Netflix. ",https://www.justwatch.com/in/tv-show/you
 MTV Splitsvilla (2008),"Drama, Reality TV, Romance",3.8 (598),"Currently you are able to watch ""MTV Splitsvilla"" streaming on Jio Cinema for free with ads. ",https://www.justwatch.com/in/tv-show/mtv-splitsvilla
 Scam 1992 (2020),"Crime, Drama, Mystery & Thriller",9.3 (151k),"Currently you are able to watch ""Scam 1992"" streaming on Sony Liv. ",https://www.justwatch.com/in/tv-show/scam-1992
 Mayor of Kingstown (2021),"Drama, Crime, Mystery & Thriller",8.2 (52k),"Currently you are able to watch ""Mayor of Kingstown"" streaming on Amazon Prime Video. ",https://www.justwatch.com/in/tv-show/mayor-of-kingstown
 Jujutsu Kaisen (2020),"Mystery & Thriller, Animation, Action & Adventure, Fantasy, Science-Fiction",8.6 (126k),"Currently you are able to watch ""Jujutsu Kaisen"" streaming on Netflix, Crunchyroll, Crunchyroll Amazon Channel, Anime Times Amazon Channel or for free with ads on Crunchyroll. ",https://www.justwatch.com/in/tv-show/jujutsu-kaisen
 Under the Dome (2013),"Science-Fiction, Drama, Mystery & Thriller",6.5 (113k),"Currently you are able to watch ""Under the Dome"" streaming on Amazon Prime Video. ",https://www.justwatch.com/in/tv-show/under-the-dome
 Master of the House (2024),"Drama, Mystery & Thriller",6.2 (712),"Currently you are able to watch ""Master of the House"" streaming on Netflix. ",https://www.justwatch.com/in/tv-show/master-of-the-house
 Unsolved Mysteries (2020),"Crime, Documentary",7.3 (13k),"Currently you are able to watch ""Unsolved Mysteries"" streaming on Netflix. ",https://www.justwatch.com/in/tv-show/unsolved-mysteries-2020
 From (2022),"Horror, Science-Fiction, Mystery & Thriller, Drama",7.7 (79k),Unavailable,https://www.justwatch.com/in/tv-show/from
 Vikings: Valhalla (2022),"Drama, History, Romance, War & Military, Action & Adventure",7.3 (61k),"Currently you are able to watch ""Vikings: Valhalla"" streaming on Netflix. ",https://www.justwatch.com/in/tv-show/vikings-valhalla
 Person of Interest (2011),"Drama, Action & Adventure, Crime, Science-Fiction, Mystery & Thriller",8.5 (191k),Unavailable,https://www.justwatch.com/in/tv-show/person-of-interest
 The Walking Dead (2010),"Action & Adventure, Drama, Science-Fiction, Horror, Mystery & Thriller",8.1 (1m),"Currently you are able to watch ""The Walking Dead"" streaming on Netflix, Amazon Prime Video. ",https://www.justwatch.com/in/tv-show/the-walking-dead
 Mad Men (2007),Drama,8.7 (263k),"Currently you are able to watch ""Mad Men"" streaming on Netflix, Lionsgate Play, Lionsgate Play Apple TV Channel, Lionsgate Play Amazon Channel. ",https://www.justwatch.com/in/tv-show/mad-men
 Heeramandi: The Diamond Bazaar (2024),"History, Romance, Drama, War & Military",6.4 (27k),"Currently you are able to watch ""Heeramandi: The Diamond Bazaar"" streaming on Netflix. ",https://www.justwatch.com/in/tv-show/heeramandi
 Supacell (2024),"Drama, Action & Adventure, Science-Fiction",7.0 (14k),"Currently you are able to watch ""Supacell"" streaming on Netflix. ",https://www.justwatch.com/in/tv-show/supacell
 Young Sheldon (2017),"Comedy, Kids & Family",7.7 (115k),"Currently you are able to watch ""Young Sheldon"" streaming on Amazon Prime Video, Netflix. ",https://www.justwatch.com/in/tv-show/young-sheldon
 The Legend of Hanuman (2021),"Animation, Action & Adventure, Fantasy, Kids & Family",9.1 (13k),"Currently you are able to watch ""The Legend of Hanuman"" streaming on Hotstar or for free with ads on Hotstar. ",https://www.justwatch.com/in/tv-show/the-legend-of-hanuman
 Euphoria (2019),Drama,8.3 (250k),"Currently you are able to watch ""Euphoria"" streaming on Jio Cinema. ",https://www.justwatch.com/in/tv-show/euphoria
 Vikings (2013),"Action & Adventure, Drama, War & Military, History, Romance, Made in Europe",8.5 (592k),"Currently you are able to watch ""Vikings"" streaming on Netflix. ",https://www.justwatch.com/in/tv-show/vikings
 Naruto Shippūden (2007),"Science-Fiction, Animation, Action & Adventure, Comedy, Drama, Fantasy",8.7 (176k),"Currently you are able to watch ""Naruto Shippūden"" streaming on Netflix, Crunchyroll, Crunchyroll Amazon Channel or for free with ads on Crunchyroll. ",https://www.justwatch.com/in/tv-show/naruto-shippuden
 How I Met Your Mother (2005),"Comedy, Drama, Romance",8.3 (736k),"Currently you are able to watch ""How I Met Your Mother"" streaming on Hotstar. ",https://www.justwatch.com/in/tv-show/how-i-met-your-mother
 Naruto (2002),"Action & Adventure, Science-Fiction, Comedy, Fantasy, Animation",8.4 (132k),"Currently you are able to watch ""Naruto"" streaming on Netflix, Anime Times Amazon Channel. ",https://www.justwatch.com/in/tv-show/naruto
 The Acolyte (2024),"Mystery & Thriller, Science-Fiction, Action & Adventure, Drama, Fantasy",4.0 (112k),"Currently you are able to watch ""The Acolyte"" streaming on Hotstar. ",https://www.justwatch.com/in/tv-show/the-acolyte
 Peaky Blinders (2013),"Drama, Crime",8.8 (665k),"Currently you are able to watch ""Peaky Blinders"" streaming on Netflix. ",https://www.justwatch.com/in/tv-show/peaky-blinders
 The Decameron (2024),"Drama, Comedy, History",6.2 (2.8k),"Currently you are able to watch ""The Decameron"" streaming on Netflix. ",https://www.justwatch.com/in/tv-show/the-decameron
 Sunflower (2021),"Crime, Comedy",7.4 (24k),"Currently you are able to watch ""Sunflower"" streaming on Zee5, VI movies and tv. ",https://www.justwatch.com/in/tv-show/sunflower-2021
 Doctor Stranger (2014),"Drama, Crime, Action & Adventure, Romance",7.4 (3.6k),"Currently you are able to watch ""Doctor Stranger"" streaming on Netflix or for free with ads on Zee5. ",https://www.justwatch.com/in/tv-show/doctor-stranger
 Kleo (2022),"Action & Adventure, Crime, Drama, Mystery & Thriller, Comedy",7.5 (14k),"Currently you are able to watch ""Kleo"" streaming on Netflix. ",https://www.justwatch.com/in/tv-show/kleo
 Alice in Borderland (2020),"Science-Fiction, Mystery & Thriller, Action & Adventure, Drama",7.7 (100k),"Currently you are able to watch ""Alice in Borderland"" streaming on Netflix. ",https://www.justwatch.com/in/tv-show/alice-in-borderland
 Lost (2004),"Mystery & Thriller, Action & Adventure, Drama, Science-Fiction, Fantasy",8.3 (604k),Unavailable,https://www.justwatch.com/in/tv-show/lost
 My Lady Jane (2024),"Drama, Science-Fiction, Comedy, Fantasy, History, Romance",7.4 (10k),"Currently you are able to watch ""My Lady Jane"" streaming on Amazon Prime Video. ",https://www.justwatch.com/in/tv-show/my-lady-jane
 Damaged (2018),"Drama, Crime, Horror, Mystery & Thriller",5.5 (267),"Currently you are able to watch ""Damaged"" streaming on VI movies and tv. ",https://www.justwatch.com/in/tv-show/damaged
 Maxton Hall: The World Between Us (2024),"Drama, Romance",7.5 (12k),"Currently you are able to watch ""Maxton Hall: The World Between Us"" streaming on Amazon Prime Video. ",https://www.justwatch.com/in/tv-show/maxton-hall-the-world-between-us
 A Good Girl's Guide to Murder (2024),Mystery & Thriller,6.7 (3.1k),"Currently you are able to watch ""A Good Girl's Guide to Murder"" streaming on Netflix. ",https://www.justwatch.com/in/tv-show/a-good-girls-guide-to-murder
 Red Swan (2024),"Action & Adventure, Drama, Romance",6.6 (424),"Currently you are able to watch ""Red Swan"" streaming on Hotstar. ",https://www.justwatch.com/in/tv-show/red-swan
 Mirzapur (2018),"Action & Adventure, Drama, Crime, Mystery & Thriller",8.5 (86k),"Currently you are able to watch ""Mirzapur"" streaming on Amazon Prime Video. ",https://www.justwatch.com/in/tv-show/mirzapur
 House of the Dragon (2022),"Drama, Action & Adventure, Science-Fiction, Fantasy, Romance",8.4 (422k),"Currently you are able to watch ""House of the Dragon"" streaming on Jio Cinema. ",https://www.justwatch.com/in/tv-show/house-of-the-dragon
 The Boys (2019),"Science-Fiction, Action & Adventure, Comedy, Crime, Drama",8.7 (703k),"Currently you are able to watch ""The Boys"" streaming on Amazon Prime Video. ",https://www.justwatch.com/in/tv-show/the-boys
 Panchayat (2020),"Drama, Comedy",9.0 (96k),"Currently you are able to watch ""Panchayat"" streaming on Amazon Prime Video. ",https://www.justwatch.com/in/tv-show/panchayat
 Sweet Home (2020),"Science-Fiction, Horror, Mystery & Thriller, Drama, Fantasy",7.3 (34k),"Currently you are able to watch ""Sweet Home"" streaming on Netflix. ",https://www.justwatch.com/in/tv-show/sweet-home
Rising Impact - Season 2 (2024),"Drama, Animation, Sport",7.5 (260),Unavailable,https://www.justwatch.com/in/tv-show/rising-impact/season-2
The Umbrella Academy - Season 4 (2023),"Fantasy, Science-Fiction, Action & Adventure, Comedy, Drama",7.9 (280k),Unavailable,https://www.justwatch.com/in/tv-show/the-umbrella-academy/season-4
