Title,Year,Genre,IMDB Rating,Runtime,Age Rating,Production Country,Streaming Service,JustWatch URL
 Alice in Borderland ,2020,"Science-Fiction, Mystery & Thriller, Action & Adventure, Drama",7.7,54min,,Japan,Netflix,https://www.justwatch.com/in/tv-show/alice-in-borderland
 Paatal Lok ,2020,"Drama, Crime, Mystery & Thriller",8.1,43min,A,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/paatal-lok
 Tulsa King ,2022,"Drama, Crime",8.0,38min,,United States,Jio Cinema,https://www.justwatch.com/in/tv-show/tulsa-king
 Prison Break ,2005,"Action & Adventure, Mystery & Thriller, Crime, Drama, Made in Europe",8.3,50min,U,United States,"Break, Hotstar",https://www.justwatch.com/in/tv-show/prison-break
 Spartacus ,2010,"Drama, Romance, Action & Adventure",8.5,54min,,United States,"Lionsgate Play, Channel",https://www.justwatch.com/in/tv-show/spartacus
 Modern Family ,2009,"Comedy, Drama, Romance",8.5,21min,,United States,Hotstar,https://www.justwatch.com/in/tv-show/modern-family
 Devil's Peak ,2023,"Drama, Mystery & Thriller, Crime",7.2,52min,,South Africa,BBC Player Amazon Channel,https://www.justwatch.com/in/tv-show/devils-peak
 Damaged ,2018,"Crime, Drama, Horror, Mystery & Thriller",5.5,20min,,India,VI movies and tv,https://www.justwatch.com/in/tv-show/damaged
 Hidden Love ,2023,Drama,,45min,,China,Netflix,https://www.justwatch.com/in/tv-show/hidden-love
 Supernatural ,2005,"Drama, Science-Fiction, Fantasy, Horror, Mystery & Thriller",8.4,45min,,United States,Amazon Prime Video,https://www.justwatch.com/in/tv-show/supernatural
 All of Us Are Dead ,2022,"Science-Fiction, Action & Adventure, Drama, Fantasy, Horror, Mystery & Thriller",7.5,1h 1min,,"Korea, Republic of",Netflix,https://www.justwatch.com/in/tv-show/all-of-us-are-dead
 My Lady Jane ,2024,"Drama, Science-Fiction, Comedy, Fantasy, History, Romance",7.4,50min,,United States,Amazon Prime Video,https://www.justwatch.com/in/tv-show/my-lady-jane
 Maxton Hall: The World Between Us ,2024,"Romance, Drama",7.5,45min,,Germany,"Hall, Amazon Prime Video",https://www.justwatch.com/in/tv-show/maxton-hall-the-world-between-us
 Parks and Recreation ,2009,Comedy,8.6,22min,,United States,Unavailable,https://www.justwatch.com/in/tv-show/parks-and-recreation
