titles_years,genres,ratings,streamings,justwatchs
 Premalu (2024),"Romance, Comedy",7.9 (14k),"Currently you are able to watch ""Premalu"" streaming on Hotstar, aha. ",https://www.justwatch.com/in/movie/premalu
 Longlegs (2024),"Mystery & Thriller, Crime, Horror",7.1 ,Unavalilabe,https://www.justwatch.com/in/movie/longlegs
 Aranmanai 4 (2024),Horror,5.2 (1.7k),"Currently you are able to watch ""Aranmanai 4"" streaming on Hotstar. ",https://www.justwatch.com/in/movie/aranmanai-4
 Ullozhukku (2024),Drama,7.8 (538),"Currently you are able to watch ""Ullozhukku"" streaming on Amazon Prime Video or rent it on Amazon Video online. ",https://www.justwatch.com/in/movie/ullozhukku
 Addicted (2014),"Drama, Mystery & Thriller, Romance",5.0 (12k),"Currently you are able to watch ""Addicted"" streaming on Netflix, Amazon Prime Video, Lionsgate Play Apple TV Channel, Lionsgate Play Amazon Channel or rent it on Amazon Video online. ",https://www.justwatch.com/in/movie/addicted
 Babylon (2022),"Drama, Comedy, History",7.1 (174k),"Currently you are able to watch ""Babylon"" streaming on Netflix. It is also possible to buy ""Babylon"" on Google Play Movies, YouTube, Apple TV as download or rent it on Amazon Video, Apple TV, Google Play Movies, YouTube online. ",https://www.justwatch.com/in/movie/babylon-2022
 Satyabhama (2024),"Mystery & Thriller, Crime, Drama",6.7 (1.1k),"Currently you are able to watch ""Satyabhama"" streaming on Amazon Prime Video. ",https://www.justwatch.com/in/movie/satyabhama
 Mad Max: Fury Road (2015),"Action & Adventure, Science-Fiction, Mystery & Thriller",8.1 (1m),"Currently you are able to watch ""Mad Max: Fury Road"" streaming on Netflix, Amazon Prime Video, Jio Cinema. It is also possible to buy ""Mad Max: Fury Road"" on Apple TV, Google Play Movies, YouTube as download or rent it on Amazon Video, Apple TV, Google Play Movies, YouTube online. ",https://www.justwatch.com/in/movie/mad-max-fury-road
 Monster (2023),"Mystery & Thriller, Drama",7.8 (26k),"Currently you are able to watch ""Monster"" streaming on Amazon Prime Video. ",https://www.justwatch.com/in/movie/monster-2023
 Sam Bahadur (2023),"Drama, War & Military, History",7.7 (18k),"Currently you are able to watch ""Sam Bahadur"" streaming on Zee5. ",https://www.justwatch.com/in/movie/sam-bahadur
 Ghostbusters: Frozen Empire (2024),"Fantasy, Action & Adventure, Comedy, Science-Fiction",6.1 (64k),"Currently you are able to watch ""Ghostbusters: Frozen Empire"" streaming on Netflix. It is also possible to buy ""Ghostbusters: Frozen Empire"" on Apple TV, Google Play Movies, YouTube as download or rent it on Zee5, Amazon Video, Google Play Movies, YouTube, Apple TV online. ",https://www.justwatch.com/in/movie/ghostbusters-frozen-empire
